appendix_ref,source_signal_id,source,source_grade,base_retest_grade,ticker,formation_date,event_date,event_day,entry_date,entry_open,formation_close,atr_abs20,rank_pct,swing_score,swing_rank_pct,mom12_1_pct,atr_pct20_pct,return_volume_corr20_pct,sma200_slope20_pct,close_vs_level_atr,close_location,event_volume_ratio,pullback_from_peak_atr,event_body_atr,event_body_return,r5,mfe5,mae5,r10,mfe10,mae10
S0218,MTR-v2:lm2:MOD:2022-12-02,lm2,A,A+,MOD,2022-11-29,2022-12-02,3,2022-12-05,20.88999938964844,20.600000381469727,1.0114998817443852,0.959409594095941,0.6960784313725489,0.8088235294117647,0.5955882352941176,0.6691176470588235,0.8235294117647058,0.9411764705882352,0.6129500784671779,0.7999995761445615,0.4645551721069129,-0.1779538568658735,0.4745423611998252,0.0231436618868605,-0.057922408799698,0.0177118645305822,-0.057922408799698,-0.0344662199325518,0.0177118645305822,-0.1000478800216502
S0219,MTR-v2:monthly:AMR:2023-02-02,monthly,A,A,AMR,2023-01-31,2023-02-02,2,2023-02-03,162.16518640812373,159.31411743164062,7.261843438251775,0.9905040175310446,0.8175182481751825,0.9635036496350364,0.9051094890510948,0.7299270072992701,0.8175182481751825,0.4598540145985401,0.3230869248268854,0.8505539054911957,0.7305668110275819,-0.1063322788756514,0.088611450246649,0.0039963675355998,-0.0438921417608901,0.0255174165000224,-0.0655025763278343,0.0548807989880646,0.0810757863423812,-0.0655025763278343
S0220,MTR-v2:lm2:CRK:2023-03-01,lm2,A,A,CRK,2023-02-27,2023-03-01,2,2023-03-02,11.869773822724492,11.74924373626709,0.674794017747824,0.9502133712660028,0.7021276595744682,0.8085106382978723,0.5035460992907801,0.900709219858156,0.7021276595744681,0.0070921985815602,0.3929574388707557,0.8000003178912353,0.454223892601974,0.0428657509587395,0.6001537395490489,0.0348837273774631,-0.0284322450250482,0.090170566561498,-0.0503656679142595,-0.1697806397547696,0.090170566561498,-0.1998374949654957
S0221,MTR-v2:lm2:WFRD:2023-03-01,lm2,A,A,WFRD,2023-02-27,2023-03-01,2,2023-03-02,64.7957826136806,65.37751770019531,2.9040293816352736,0.980796586059744,0.7494089834515366,0.8936170212765957,0.8085106382978723,0.6737588652482269,0.7659574468085106,0.8936170212765957,0.3071535838677646,0.8481667445585565,0.6471031104965955,-0.2670973905309119,0.417334411780947,0.0186289124951632,-0.0013468663795892,0.0501269256097181,-0.023791873097874,-0.1883884072387839,0.0501269256097181,-0.2153224651039073
S0222,MTR-v2:monthly:FLNC:2023-03-02,monthly,A,A,FLNC,2023-02-28,2023-03-02,2,2023-03-03,19.209999084472656,18.670000076293945,1.7734001159667958,0.9781227946365562,0.7934272300469484,0.9190140845070424,0.7816901408450704,1.0,0.5985915492957746,0.908450704225352,0.2988613127255661,0.8041249884477485,0.5671913329406414,-0.1635271169589461,0.0733061123345886,0.0068170461560372,0.0176991238309174,0.1249350151098556,-0.0369598708126198,-0.1499218791267142,0.1249350151098556,-0.1702238240465341
S0223,MTR-v2:lm2:ROIV:2023-04-03,lm2,A,A,ROIV,2023-03-30,2023-04-03,2,2023-04-04,7.420000076293945,7.309999942779541,0.4823000192642211,0.976470588235294,0.7977011494252874,0.903448275862069,0.7655172413793103,0.9241379310344828,0.7034482758620689,0.8827586206896552,0.1866061559051801,0.7500011920940324,0.6681333350159356,-0.2073396239650259,0.1036703063191697,0.0068027471270235,0.0013476754638623,0.016846361012766,-0.0606469382042184,0.1954177620425801,0.2061994228085477,-0.0606469382042184
S0224,MTR-v2:lm2:BBIO:2023-06-01,lm2,A,B,BBIO,2023-05-30,2023-06-01,2,2023-06-02,14.18000030517578,13.539999961853027,0.8235500335693361,0.988243938280676,0.7883211678832117,0.8905109489051095,0.8832116788321168,0.8613138686131386,0.6204379562043796,0.3795620437956204,0.5585574881872001,0.7209303872917302,0.5669179633149332,0.0,0.2307079990754494,0.013758115467789,0.1488011681904832,0.1780676702530561,-0.0317348909206439,0.0944993035083916,0.2122708155219976,-0.0317348909206439
S0225,MTR-v2:lm2:PACB:2023-06-01,lm2,A,A+,PACB,2023-05-30,2023-06-01,2,2023-06-02,13.170000076293944,12.34000015258789,0.7290001392364504,0.9816311535635562,0.6934306569343066,0.8065693430656934,0.8175182481751825,0.8321167883211679,0.4306569343065693,0.9343065693430656,0.7133050819907927,0.826666514078776,0.760192529247896,0.3566518868979081,0.7544569712107493,0.0446790591642947,0.0569476078705575,0.0774487090493918,-0.0220197388134436,0.0106302462043836,0.0858010712144887,-0.0220197388134436
S0226,MTR-v2:monthly:BBIO:2023-06-02,monthly,A,A,BBIO,2023-05-31,2023-06-02,2,2023-06-05,14.100000381469728,13.720000267028809,0.8188000202178957,0.9853801169590644,0.8029197080291971,0.8978102189781022,0.8540145985401459,0.8832116788321168,0.6715328467153284,0.3722627737226277,0.6595016469458865,0.9298247081676256,0.5785253104823336,0.0244265477159483,0.0977038614199926,0.0056417434403619,0.1347517423494015,0.1847517355857539,-0.0056737533008291,0.0645389945242862,0.219148941063064,-0.0056737533008291
S0227,MTR-v2:monthly:AMLX:2023-06-05,monthly,A,A,AMLX,2023-05-31,2023-06-05,3,2023-06-06,25.309999465942383,24.690000534057617,1.4302498817443845,0.9956140350877192,0.7055961070559612,0.8029197080291971,0.9562043795620438,0.8686131386861314,0.291970802919708,0.0291970802919708,0.4055234900622161,0.8600006103515625,0.5978834421604531,0.0419516715623397,0.0489422832455295,0.0027777655835299,-0.0189648183470816,0.0446464279715133,-0.0201501477535825,-0.0347688336363161,0.0446464279715133,-0.0861319775256902
S0228,MTR-v2:weekly:VRT:2023-06-27,weekly,A,B,VRT,2023-06-23,2023-06-27,2,2023-06-28,23.5047305530084,23.55455207824707,0.939840437394628,0.9496151154653604,0.7062937062937064,0.8321678321678322,0.4965034965034965,0.6223776223776224,1.0,0.7832167832167832,0.1696245523013134,0.7114087774005725,0.5335785324513538,-0.4876740151864147,0.307446637014656,0.0123351342133313,0.0300974891231824,0.0601950062425373,-0.0220432579228544,0.0919881521483796,0.1011021900851043,-0.0220432579228544
S0229,MTR-v2:monthly:FDMT:2023-07-06,monthly,A,A,FDMT,2023-06-30,2023-07-06,3,2023-07-07,18.049999237060547,18.06999969482422,1.3476001739501946,0.9881533101045296,0.9120370370370372,1.0,0.8819444444444444,0.9513888888888888,0.9027777777777778,0.7708333333333334,0.0148415369412167,0.7948716694706366,0.3140642719386318,-0.6010680924506342,0.0074207684706109,0.0005531100068605,0.065373980889317,0.1340720320544479,-0.0138504160978963,-0.0011079529784121,0.1340720320544479,-0.0142935972892611
S0230,MTR-v2:weekly:NVTS:2023-07-11,weekly,A,A,NVTS,2023-07-07,2023-07-11,2,2023-07-12,10.600000381469728,10.199999809265137,0.5405001640319824,0.9837455830388692,0.727699530516432,0.8450704225352113,0.8380281690140845,0.8028169014084507,0.5422535211267606,0.7746478873239436,0.2035163311163279,0.750001986823391,0.407384718697369,-0.0925054984027504,0.0185018054522629,0.0009708959899661,0.0037735811710866,0.0263206904313899,-0.0792452945620953,-0.0556603897504848,0.0263206904313899,-0.1273585219704064
S0231,MTR-v2:weekly:HLX:2023-07-25,weekly,A,A,HLX,2023-07-21,2023-07-25,2,2023-07-26,8.420000076293945,8.369999885559082,0.2304999589920044,0.98490294751977,0.7166666666666667,0.8214285714285714,0.85,0.3642857142857142,0.9357142857142856,0.45,0.6941426285358231,0.8799972534179688,0.6240764438642872,-0.2169206057715511,0.477222022764272,0.0130640921235789,0.1342042879099694,0.1923990345463422,-0.0035629136222521,0.1365795259038105,0.1923990345463422,-0.0035629136222521
