ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
ANF,weekly_incremental,,W-ANF-20240117,,A+,,2024-01-12,2024-01-17,2024-01-18,0.0189450743696695,0.0550403489149016,-0.0476617682287486,0.0160534509487904,0.0569348791738679,-0.0476617682287486,A+,MT-132,2024,2023-2026,False
NVDA,weekly_incremental,,W-NVDA-20240123,,A+,,2024-01-19,2024-01-23,2024-01-24,0.0409591446625183,0.0528820982463327,-0.0060692677760056,0.1313181065909745,0.1567061140017094,-0.0060692677760056,A+,MT-133,2024,2023-2026,False
UPST,monthly_only,A+028,,A+,,2024-01-31,,2024-02-02,2024-02-05,0.0694006533120175,0.1148264764051352,-0.0264984268886813,-0.1738170377372226,0.165930542427074,-0.2018927877554237,A+,MT-138,2024,2023-2026,False
APP,monthly_only,A+029,,A+,,2024-04-30,,2024-05-02,2024-05-03,0.1601370197452911,0.2123287671232876,-0.0068493150684931,0.1401370322867616,0.2123287671232876,-0.0068493150684931,A+,MT-143,2024,2023-2026,False
VRT,monthly_only,A+030,,A+,,2024-04-30,,2024-05-06,2024-05-07,-0.0114702102030853,0.0458601423053828,-0.0225234451390969,0.035662117357073,0.0923878776726427,-0.0291971843894323,A+,MT-145,2024,2023-2026,False
AMSC,monthly_only,A+031,,A+,,2024-06-28,,2024-07-02,2024-07-03,0.1353477019211959,0.2061258101692316,-0.00248342161926,0.2003311334087747,0.353476861318859,-0.00248342161926,A+,MT-149,2024,2023-2026,False
ROOT,monthly_only,A+032,,A+,,2024-06-28,,2024-07-02,2024-07-03,0.1507154169982933,0.2637055986724486,-0.0243449422014184,0.4757480326236361,0.5439509331120747,-0.0243449422014184,A+,MT-151,2024,2023-2026,False
CVNA,monthly_only,A+033,,A+,,2024-09-30,,2024-10-02,2024-10-03,0.0806800476772109,0.1001251792477251,-0.0105185053925328,0.0996134224513856,0.1096771052111895,-0.0105185053925328,A+,MT-160,2024,2023-2026,False
TPC,weekly_incremental,,W-TPC-20241029,,A+,,2024-10-25,2024-10-29,2024-10-30,0.0331699492151003,0.0508857160670814,-0.0376931649377796,0.1017715096507922,0.3022990175549522,-0.0376931649377796,A+,MT-161,2024,2023-2026,False
HOOD,exact_confluence,A+034,W-HOOD-20241203,A+,A,2024-11-29,2024-11-29,2024-12-03,2024-12-04,-0.0648310413798681,0.0703378599481907,-0.069086410100669,0.0420525725429841,0.0971214266337288,-0.1083855256160974,A+,MT-163,2024,2023-2026,True
TPC,monthly_only,A+035,,A+,,2024-12-31,,2025-01-03,2025-01-06,-0.052360171489222,0.0408568315767969,-0.071003540266386,0.087266970901493,0.0896469576929572,-0.071003540266386,A+,MT-167,2025,2023-2026,False
LTBR,monthly_only,A+036,,A+,,2025-03-31,,2025-04-02,2025-04-03,0.0604781744393692,0.113924040445716,-0.1420534753749157,0.021097059430474,0.1870603968908071,-0.1420534753749157,A+,MT-175,2025,2023-2026,False
SEZL,monthly_only,A+037,,A+,,2025-03-31,,2025-04-02,2025-04-03,0.13643139328836,0.1861781369322925,-0.2594578243566549,0.2731606215968003,0.2761394263340702,-0.2594578243566549,A+,MT-176,2025,2023-2026,False
SMR,monthly_only,A+038,,A+,,2025-03-31,,2025-04-02,2025-04-03,0.1629253423576748,0.1976828684257503,-0.1976828684257502,0.0499637624487814,0.1976828684257503,-0.1976828684257502,A+,MT-177,2025,2023-2026,False
ADPT,monthly_only,A+039,,A+,,2025-05-30,,2025-06-03,2025-06-04,0.0470470748545575,0.0719719598742716,-0.0210210253211514,0.0150150726367634,0.0880881015618302,-0.0210210253211514,A+,MT-185,2025,2023-2026,False
ASST,monthly_only,A+040,,A+,,2025-06-30,,2025-07-02,2025-07-03,0.6141176111557904,1.4588235294117649,-0.0682353300206801,0.1999999999999999,1.4588235294117649,-0.0682353300206801,A+,MT-187,2025,2023-2026,False
CRDO,monthly_only,A+041,,A+,,2025-06-30,,2025-07-07,2025-07-08,0.0578777461935213,0.0777063211453283,-0.0203644315512495,0.0261521407524301,0.1184351024751131,-0.0230439598666056,A+,MT-189,2025,2023-2026,False
